Variable,Hour,WRF_RMSE,WRF_Bias,WRF_MAE,Pred_RMSE,Pred_Bias,Pred_MAE,WRF_PCC,Pred_PCC
V10,8,1.6304299,0.13224679,1.2566276,1.0932131,0.054053824,0.8188918,,
V10,9,1.6444818,0.14074817,1.2618834,1.0998876,0.07398241,0.82264274,,
V10,10,1.6402996,0.13513015,1.2575564,1.098006,0.07733168,0.82008374,,
V10,11,1.60163,0.13239343,1.2291441,1.0935097,0.027801607,0.81451285,,
V10,12,1.63084,0.1087919,1.2584525,1.112992,0.008740992,0.8246576,,
V10,13,1.6869832,0.11482101,1.307244,1.1553646,0.035108756,0.8494814,,
V10,14,1.7204983,0.11038348,1.3329457,1.185573,0.043426983,0.86868733,,
V10,15,1.7385216,0.099329196,1.3464241,1.174766,0.07367381,0.865181,,
V10,16,1.7451556,0.042539123,1.3393064,1.1750543,0.028679503,0.8637961,,
V10,17,1.7318559,0.031145917,1.314707,1.1701175,-0.053040687,0.8554554,,
V10,18,1.767227,0.036382798,1.3457875,1.1843685,-0.025898507,0.86095786,,
V10,19,1.8278344,0.078659736,1.3946531,1.2076234,0.013465478,0.8735125,,
V10,20,1.8630098,0.10697196,1.4194417,1.2323948,0.03499716,0.883845,,
V10,21,1.8595335,0.11760776,1.4203014,1.2352349,0.06352926,0.8911516,,
V10,22,1.8588233,0.13202383,1.4234598,1.2379756,0.05130623,0.894181,,
V10,23,1.8523937,0.19061829,1.4115473,1.2348706,0.091328464,0.89022505,,
V10,24,1.8369273,0.16088347,1.4075676,1.2422175,0.06934702,0.8975878,,
V10,Avg,1.6917309,0.080179565,1.2935897,1.1419778,0.021700181,0.84201103,0.7796170253098714,0.8660344417920223
